Formula,MP band gap (eV),formation energy per atom (eV),valence band edge (SHE),conduction band edge (SHE),link(s)/Reference(s),synthesized
K6MnTe4,1.4227,-0.9235557,1.019213034,-0.403486966,"Bronger, W.; Balk-Hardtdegen, H. Darstellung, Struktur und magnetisches Verhalten von Alkalimetallmanganchalkogeniden A6 Mn X4 mit A = Na oder K und X = S, Se oder Te Zeitschrift fuer Anorganische und Allgemeine Chemie 574 (1989) 89-98",K2CO3 + Te + Mn
KBiP2Se6,1.614,-0.403440043,1.492092629,-0.121907371,"Breshears, J.D.; Kanatzidis, M.G. beta-(K M P2 Se6) (M = Sb, Bi): kinetically accessible phases obtained from rapid crystallisation of amorphous precursors Journal of the American Chemical Society 122 (2000) 7839-7840",K2Se + Bi + P2Se5 + Se in sealed quartz tube at 200 C
KCoO2,0.9921,-1.544481944,0.98786331,-0.00423669,"Jansen, M.; Hoppe, R. Zur Kenntnis von K Co O2 und Rb Co O2 Zeitschrift fuer Anorganische und Allgemeine Chemie 417 (1975) 31-34",KO2 + CuO under flowing oxygen at 400 C for 6 d
KCuO2,0.8605,-1.388226858,0.972884353,0.112384353,"Hestermann, K.; Hoppe, R. Die Kristallstruktur von K Cu O2, Rb Cu O2 und Cs Cu O2 Zeitschrift fuer Anorganische und Allgemeine Chemie 367 (1969) 249-260",KO2 + CuO under flowing oxygen at 400 C for 6 d
KLa5C2Cl10,1.9383,-2.318409704,1.523382456,-0.414917544,"Uhrlandt, S.; Meyer, G. Trigonal-bipyramidale Cluster mit interstitiellen C2Hanteln in den Chloriden K (M5 (C2)) Cl10 (M= La, Ce, Pr) und Rb (M5 (C2)) Cl10 (M= Pr, Nd) Zeitschrift fuer Anorganische und Allgemeine Chemie 620 (1994) 1872-1878",LaCl3 + K + La + C in sealed Nb ampule at 700-900 C
KNaZnO2,1.7773,-1.647386828,0.898573918,-0.878726082,"Hoppe, R.; Baier, R. Ein neues Oxozincat: Ueber K Na Zn O2 Zeitschrift fuer Anorganische und Allgemeine Chemie 511 (1984) 161-175",KO.54 + N2O + ZnO in sealed ampule at 600 C for 14 d
KSbP2Se6,1.7977,-0.365938098,0.992665709,-0.805034291,"Breshears, J.D.; Kanatzidis, M.G. beta-(K M P2 Se6) (M = Sb, Bi): kinetically accessible phases obtained from rapid crystallisation of amorphous precursors Journal of the American Chemical Society 122 (2000) 7839-7840",K2Se + Sb + P2Se5 + Se in sealed quartz tube at 200 C
KV3P4O17,1.1557,-2.61716407,0.874384405,-0.281315595,www.dx.doi.org/10.1016/0022-4596(92)90017-P,"K2CO3 + H(NH4)2PO4 + V2O5 heated to 653 K in air, then to 923 K for 7 d in sealed ampule"
LaSb3O9,1.4864,-2.330696904,0.878428817,-0.607971183,www.dx.doi.org/10.1039/b307496j,La2O3 + Sb2O5 + TeO2 in sealed Au tube heated to 900 C for 24 h (single crystal); polycrystalline = La(NO3)3-H2O + Sb2O5 at 900 C for 48 h in air
La10Se14O,1.5519,-2.182961371,1.227095311,-0.324804689,www.dx.doi.org/10.3390/cryst2031136,La + Se + SeO2 + CsCl in sealed ampule at 800 C for 4 d
La4Mo2O11,1.8151,-3.248662385,1.160971229,-0.654128771,www.dx.doi.org/10.1107/S0108270192003214,La2O3 + MoO3 + Mo at 1980 K for 48 h
La4Se3O4,1.3261,-3.143345279,1.325192093,-0.000907907,www.dx.doi.org/10.1021/ic800233c,La + Se + SeO2 in sealed quartz tube heated to 750 C for 168 h
La6BN3O6,1.0963,-3.026209098,0.907470904,-0.188829096,www.dx.doi.org/10.1002/1521-3749(200207)628:7<1548::AID-ZAAC1548>3.0.CO;2-E,Li3BN2 + Li3N + LaOCl at 950 C
LaCuS2,1.2324,-1.804859444,0.990743548,-0.241656452,"Strobel, S.; Lauxmann, P.; Schleid, T. Muenzmetall-Lanthanid-Chalkogenide:I. Kupfer(I)-Lanthanid(III)-Sulfide der Zusammensetzung Cu M S2(M = La - Nd, Sm, Gd, Tb) im monoklinen A-Typ Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (42,1987-) 60 (2005) 917-923",La2Cu2O5 (La2O3 + Cu2O) +S
LaCuSO,1.6691,-2.407106107,1.446398984,-0.222701016,"Ueda, K.; Hosono, H. Crystal structure of La Cu O S1-x Sex oxychalcogenides Thin Solid Films 411 (2002) 115-118",La2O3 + La2S3 + Cu2S at 800 C
LaCuSeO,1.5468,-2.208089602,1.316867004,-0.229932996,"Ueda, K.; Hosono, H. Crystal structure of La Cu O S1-x Sex oxychalcogenides Thin Solid Films 411 (2002) 115-118",La2O3 + La2Se3 (La + Se at 300 C) + Cu + Se 800 C
LaP3H6O6,1.2893,-1.689906187,1.470442082,0.181142082,www.dx.doi.org/10.1021/ic990187z,La2O3 + 50% H3PO2 + Conc. HCl
LaSO,1.5229,-3.11907285,1.579698922,0.056798922,www.dx.doi.org/10.1107/S0108270189013375,S+K2S+La2O3 at 923 K under Ar
LaTiNO2,1.2144,-3.056866092,1.530712142,0.316312142,"Clarke, S.J.; Guinot, B.P.; Michie, C.W.; Rosseinsky, M.J.; Calmont, M.J.C. Oxynitride perovskites: synthesis and structures of La Zr O2 N, Nd Ti O2 N and La Ti O2 N and comparison with oxide perovskites Chemistry of Materials (1,1989-) 14 (2002) 288-294","La2O3+TiO2 in air at 1050 C for 24 h, 1310 in air for 24 h, ammonia at 950 C for 20 h, 6 h, and 6 h"
LaTiNbBi2O9,1.7236,-2.85784406,1.669650731,-0.053949269,"Nalini, G.; Subbanna, G.N.; Guru Row, T.N. Studies on n=2 Aurivillius phases: structure of the series Bi3-x Lax Ti Nb O9 (0 <= x <= 1) Materials Chemistry and Physics 82 (2003) 663-671",synthesized via the Pecchini method
Li2MnBr4,1.7798,-1.235167979,1.712916351,-0.066883649,"Lutz, H.D.; Cockcroft, J.K.; Kuske, P.; Schneider, M. Polymorphism of the fast ionic conductor Li2 Mn Br4 - Neutron diffraction and differential scanning calorimetry Materials Research Bulletin 25 (1990) 451-456",LiBr + MnBr2 in sealed quartz ampule at 1100 C
Li3V2P3O12,1.9207,-2.739646465,1.052461498,-0.868238502,www.dx.doi.org/10.1107/S1600536813001499,V2O5 + LiOH-H2O + NH4H2PO4 + C at 800 C for 24 h
LiCoO2,0.6623,-1.782250924,1.099431039,0.437131039,www.dx.doi.org/10.1021/cg201238n,CoO + Li2CO3
LiCuO,1.4376,-1.439419499,0.946167006,-0.491432994,"Fischer, D.; Glaum, H.; Carl, W.; Hoppe, R. Zur Struktur der K Ag O-Verwandschaft. Neubestimmung an A Ag O= A4 (Ag4 O4) (A= Na-Rb) mit einer Bemerkung zu Cs Cu O Zeitschrift fuer Anorganische und Allgemeine Chemie 585 (1990) 75-81",Li2O + Cu2O at 1073 K for 6 h under in sealed quartz ampule
LiMnP2O7,1.3147,-2.592432293,0.828797572,-0.485902428,"Ivashkevich, L.S.; Selevich, K.A.; Lesnikovich, A.I.; Selevich, A.F.; Lyakhov, A.S. Two isostructural manganese(III) diphosphates, acid alpha-Mn H P2 O7 and double Mn Li P2 O7: crystal structure determination from x-ray powder diffraction data Zeitschrift fuer Kristallographie (149,1979-) 221 (2006) 115-121",MnHP2O7 (Mn(III)PO4 + phosphoric acid at 250 C) + LiNO3 at 300 C
LiMo3P3O16,1.6483,-2.410078016,1.218699744,-0.429600256,www.dx.doi.org/10.1016/0025-5408(95)00023-2,"Li2CO3 + H(NH4)2PO4 + MoO3 at 673 K for 6 h, + Mo in sealed ampule at 953 K for 15 h"
LiNb6Cl19,0.7273,-1.76461494,1.164533952,0.437233952,"Stroebele, M.; Meyer, H.J. Die Leiterstruktur von Li Nb6 Cl19 Zeitschrift fuer Anorganische und Allgemeine Chemie 627 (2001) 2005-2010",Nb + NbCl5 + Li2C2 in sealed ampule at 530 C for 15 h
LiV3Te6O12,1.8778,-2.081254499,0.898641364,-0.979158636,www.dx.doi.org/10.1107/S010827010702954X,V2O5 + TeO2 + LiOH hydrothermally at 483 K for 4 d
LiVO2,1.7865,-2.485375551,1.435240809,-0.351259191,"Cardoso, L.P.; Chamberland, B.L.; Hewston, T.A.; Cox, D.E. Structural studies of Li0.7 V O2 in the temperature range 20-300 C Journal of Solid State Chemistry 72 (1988) 234-243","Li2CO3+V2O5 under Ar/H2 at 625 C for 14 h, 750 C for 4 h"
MgFe2O4,1.7999,-2.252172591,0.955065457,-0.844834543,www.dx.doi.org/10.2138/am.2005.1559,MgO and Fe2O3 in air at 900 C
MgSb2O6,1.0375,-2.245855561,0.878295569,-0.159204431,"Bystrom, A.; Hok, B.; Mason, B. The crystal structure of zinc metantimonate and similar compounds Arkiv for Kemi, Mineralogi och Geologi 15B4 (1942) 1-8",MgO + Sb2O3 at 1000 C for 48 h ambient
MgB9N,1.6753,-0.425956637,1.333003984,-0.342296016,www.dx.doi.org/10.1107/S0108270102009253,"Mg + B in a BN crucible in a W container at 1873 K under Ar for 1 h, then under vacuum for 15 min at 1023 K"
MgMoN2,0.7411,-1.055725089,1.214216515,0.473116515,www.dx.doi.org/10.1039/c2jm30844d,NaN3 + Mo + Mg in autoclave at 700 C for 10 h
MgTe2,1.1162,-0.57922888,0.953049981,-0.163150019,"Yanagisawa, S.; Tashiro, M.; Anzai, S. Crystal Structure of Magnesium Ditelluride Journal of Inorganic and Nuclear Chemistry 31 (1969) 943-946","Mg + Te in sealed ampule at 670 K for 15 h, 770 K for 15 h"
MnGa2S4,1.1795,-1.045559684,0.929764401,-0.249735599,"Rimet, R.; Roques, R.; Buder, R.; Schlenker, C.; Zanchetta, J.V. New antiferromagnetic properties of manganese gallium sulfides Mn Ga2 S4-alpha and Mn Ga2 S4-beta Solid State Communications 37 (1981) 693-697","Mn+Ga+S in sealed ampule at 600 C for 2 d, 900 C for 2 d and quenched"
MnNi6O8,1.3056,-1.102145849,1.099562572,-0.206037428,www.dx.doi.org/10.1016/S0038-1098(98)00457-8,NI-acetate + Mn acetate + acetic acid + oxalic acid dried at 340 K then fired at 873 K for 3 h
MnP3O9,1.1659,-2.541039529,1.248032491,0.082132491,"Bagieu-Beucher, M. Structure cristalline du polyphosphate de manganese trivalent Mn (P O3)3 Acta Crystallographica B (24,1968-38,1982) 34 (1978) 1443-1446",Decompose Mn2P4O12 at 700 C
Mn3V2O8,1.9247,-2.298695994,0.865015868,-1.059684132,"Xiandong Wang; Zhenquan Liu; Andrea Ambrosini; Antoine Maignan; Charlotte L. Stern; Kenneth R. Poeppelmeier; Vinayak P. Dravid Crystal growth, structure, and properties of manganese orthovanadate Mn3(VO4)2 Solid State Sciences 2 (1998) 99-107",MnO + V2O5 + MoO3 in Pt crucible at 1110 C for 1 h
MnO,1.6823,-2.000399532,1.697261781,0.014961781,www.dx.doi.org/10.1007/s002690050229,can be bought
MnSb2Pb5O11,1.1327,-1.757772811,1.049087538,-0.083612462,"Abakumov, A.M.; Rozova, M.G.; Chizhov, P.S.; van Tendeloo, G.; Antipov, E.V.; Hadermann, J. Synthesis and crystal structure of the novel Pb5 Sb2 Mn O11 compound Journal of Solid State Chemistry 177 (2004) 2855-2861","4 PbO2 + PbO + MnO2 + Sb2O3 in air at 650 C for 50 h, then 50 h"
Mo2P2O11,1.9934,-2.32731126,1.706550696,-0.286849304,www.dx.doi.org/10.1021/ic902166j,"Dehydration of MoO2-H2O-PO3OH (MoO3 in 14.5 M H3PO4 at 180 C, then 15.5 M HNO3 added and evaporated) at 923 K for 48 h"
Mo6PbI14,1.843,-0.43504411,1.4893046,-0.3536954,"Boeschen, S.; Keller, H.L. Darstellung und Kristallstruktur der homologen Reihe PbMo6X14, X = Cl, Br, I Zeitschrift fuer Kristallographie (149,1979-) 200 (1992) 305-315",PbI2 + MoI2 --> still need to access paper
MoP2O7,1.9979,-2.559728864,1.838964527,-0.158935473,"Leclaire, A; Borel, M M; Grandin, A; Raveau, B Structure of molybdenum (IV) diphosphate Mo P~2~ O~7~ European Journal of Solid State Inorganic Chemistry 25 (1988) 323-327","(NH4)2HPO4 + MoO3 600 K in Pt crucible, then Mo added and sealed quartz ampule to 1373 K for several days"
MoPO5,1.1382,-2.420276986,1.278950696,0.140750696,www.dx.doi.org/10.1021/cm101429u,MoO3 + H3PO4 in autoclave 453 K for 12 h
MoS2,1.2042,-1.306307339,1.485819016,0.281619016,www.dx.doi.org/10.1021/ja01659a020,can be made colloidally
MoSe2,1.1384,-0.670039251,1.262914731,0.124514731,"Towle, L.C.; Oberbeck, V.; Stajdohar, R.E.; Brown, B.E. Molybdenum Diselenide: Rhombohedral High Pressure - High Temperature Polymorph Science 154 (1966) 895-896",Can be made colloidally
Na2Sn2Se5,1.0178,-0.624397047,1.021072329,0.003272329,www.dx.doi.org/10.1002/(SICI)1521-3749(200004)626:4<863::AID-ZAAC863>3.0.CO;2-N,Na2Se + Sn + Se at 450 C in sealed quartz ampule
Na2TeO4,1.8126,-1.831209899,2.09353179,0.28093179,"Daniel, F.; Maurin, M.; Moret, J.; Philippot, E. Etude structurale d'un nouveau tellurate alcalin: Na2 Te O4 . Evolution de la coordination du tellure(VI) et du cation quand on passe du cation lithium au sodium Journal of Solid State Chemistry 22 (1977) 385-391",NaOH + Te(OH)6 in hydrotherman furnace at 580 C
Na3BP2,1.8442,-0.339583915,1.390800153,-0.453399847,"Somer, M.; Peters, K.; Popp, T.; von Schnering, H.G. Crystal structure of sodium diphosphidoborate Zeitschrift fuer Kristallographie (149,1979-) 193 (1990) 281-282",Na3P + BP in sealed Nb/steel ampule at 1000 K
Na3BiO4,0.9646,-1.743498453,1.350123915,0.385523915,"Schwedes, B.; Hoppe, R. Zur Kenntnis von Na3 Bi O4 und Na3 Sb O4 Zeitschrift fuer Anorganische und Allgemeine Chemie 393 (1972) 136-148","Na2O2 + Bi2O3 at 600 C for 12 h (or 700 C for 30h, it's in GermanÉ)"
Na3Fe5O9,1.723,-1.864866464,1.637470912,-0.085529088,"Gomers, C.; Rooymans, C.J.M.; de Graaff, R.A.G. The preparation, crystal structure and magnetic properties of Na3 Fe5 O9 Acta Crystallographica (1,1948-23,1967) 22 (1967) 766-771",Na2CO3 + Fe2O3 at 1100 C
Na3Mn4Te2O12,1.4484,-1.930611448,1.862890673,0.414490673,www.dx.doi.org/10.1107/S0108270197020076,MnO2 + Te(OH)6 in 1 M NaOH in autoclave at 648 K for 5 days
Na3WN3,1.7679,-0.626389997,0.897056389,-0.870843611,"Jacobs, H.; Niewa, R. Synthesis and crystal structure of a sodium nitrido tungstate (VI), Na3WN3 European Journal of Solid State and Inorganic Chemistry 31 (1994) 105-113","W2N (WO3 + NH3 at 700 C for 11h) + Na under NH3 flow at 350 C, then 500 C for 8 h, then 600 C for 8 hthen 500 C for 8 h"
Na4Fe2O5,1.9196,-1.808412125,0.919630882,-0.999969118,"Brachtel, G.; Hoppe, R. Zur Kenntnis von Na4 Fe2 O5 Zeitschrift fuer Anorganische und Allgemeine Chemie 446 (1978) 97-104",Na2O2 + Fe2O3 at 600 C for 6 d
Na4VP2O9,1.7556,-2.616152535,1.10173106,-0.65386894,www.dx.doi.org/10.1021/cm0351543,Na4P2O7 + VO2 in sealed ampule at 700 C for 3 d
Na5CoHO4,1.6838,-1.541933566,1.550183619,-0.133616381,"Amann, P.; Moeller, A. Ein Natrium-Oxocobaltat(II)-Hydroxid: Na5 (Co O3) O H = Na10 (Co O3) ((C O3) (O H)2) Zeitschrift fuer Anorganische und Allgemeine Chemie 628 (2002) 1756-1760",Na2O + CdO + NaOH + Co under Ar at 600 C for 21 d
Na5CuH2O4,1.4867,-1.496071108,1.91914499,0.43244499,"Amann, P.; Moeller, A. Synthesis, crystal structure, and reactivity of Na5 (Cu O2) (O H)2 Zeitschrift fuer Anorganische und Allgemeine Chemie 627 (2001) 2571-2575",Na2O (Na + NaOH) + NaOH + Cu2O in Ni/Ag container sealed ampule at 600 C for 5 d
Na5NiO4,1.9118,-1.392366896,0.880465271,-1.031334729,"Zentgraf, H.; Hoppe, R. Na5 Ni O4, das erste Oxoniccolat(III) mit Inselstruktur Zeitschrift fuer Anorganische und Allgemeine Chemie 462 (1980) 61-70",Na2O + NaNiO2 at 550 C for 2 d
Na6MnS4,1.4025,-1.259175101,1.53824534,0.13574534,"Bronger, W.; Boehmer, M.; Mueller, P. Magnetic properties of the ternary sulfide Na6 Mn S4 Journal of Alloys Compd. 338 (2002) 116-120",Na2CO3 + Mn + S at 1200 K in H2 stream
Na6MnSe4,1.1356,-0.983992881,1.199674089,0.064074089,"Bronger, W.; Balk-Hardtdegen, H. Darstellung, Struktur und magnetisches Verhalten von Alkalimetallmanganchalkogeniden A6 Mn X4 mit A = Na oder K und X = S, Se oder Te Zeitschrift fuer Anorganische und Allgemeine Chemie 574 (1989) 89-98",NaCO3 + MnCO3/Mn + Se under H2 flow 1200 K
Na6MnTe4,1.3409,-0.804843269,1.04943316,-0.29146684,"Bronger, W.; Balk-Hardtdegen, H. Darstellung, Struktur und magnetisches Verhalten von Alkalimetallmanganchalkogeniden A6 Mn X4 mit A = Na oder K und X = S, Se oder Te Zeitschrift fuer Anorganische und Allgemeine Chemie 574 (1989) 89-98",Na2CO3 + Mn + Te under H2 at 1070 K
NaBiO3,1.0879,-1.602838166,1.167855816,0.079955816,"Kumada, N.; Kinomura, N.; Sleight, A.W. Neutron powder diffraction refinement of ilmenite-type bismuth oxides: A Bi O3 (A = Na, Ag) Materials Research Bulletin 35 (2000) 2397-2402",Purchased
NaFeSe2O8,1.8817,-1.47901469,1.243966725,-0.637733275,www.dx.doi.org/10.1007/BF01163100,Na2SeO4 + FeC2O4-2H2O + H2SeO4 at 500 K for 1 week hydrothermally
NaFe3H6S2O14,1.8908,-1.830216131,1.452279694,-0.438520306,www.dx.doi.org/10.2138/am.2008.2731,"Fe2(SO4)3-5H2O + Na2SO4 + H2O at 140 C for 48 h hydrothermally, 140 C post-synthesis heat"
NaFe7P6O24,0.9114,-2.073766369,0.862783262,-0.048616738,"Belokoneva, E.L.; Dimitrova, O.V.; Ruchkina, E.A. Synthesis and crystal structure of new phosphate Na Fe4 Fe3 (P O4)6 Kristallografiya 48 (2003) 54-58",Na3PO4 + FeCl3 + water + boric anhydride in autoclave at 280 C for 7 d
NaMnO2,1.2564,-2.033420742,1.143074089,-0.113325911,www.dx.doi.org/10.1021/cm5011696,Na2CO3 + MnO
NaMo3P3O16,1.7418,-2.414851193,1.234482484,-0.507317516,www.dx.doi.org/10.1016/0022-4596(91)90386-V,"Na2CO3 + H(NH4)2PO4 + MoO3 at 673 K in air, + Mo in sealed ampule at 973 K for 2 d"
NaMo6Br13,1.9979,-0.766168486,1.048962766,-0.948937234,"Wang, P.; Xu, W.; Zheng, Y.-Q. New catenary octahedro-hexamolybdenum cluster bromides: crystal structures of A Mo6 Br13 with A = Na, Ag Solid State Sciences 5 (2003) 573-578",MoBr2 + NaBr in sealed ampule at 700 C
NaNbO2,1.3782,-2.539765814,1.29468917,-0.08351083,"Roth, H.F.; Meyer, G.; Kaindl, G.; Hu, Z. Synthesis, structure, and X-ray absorption spectra of Lix Nb O2 and Nax Nb O3 (x<1) Zeitschrift fuer Anorganische und Allgemeine Chemie 619 (1993) 1369-1373",Na2O + NbO + NbO2 at 700 C for 3 d
NbP2S8,1.2752,-0.922701883,1.079593951,-0.195606049,"Grenouilleau, P.; Brec, R.; Evain, M.; Rouxel, J. Synthesis and structure of the new layered phase P2 Nb S8 Revue de Chimie Minerale 20 (1983) 628-635","Nb+P+S in sealed ampule at 650 C for ""several days"""
Nb2Co4O9,1.7926,-2.140547134,0.847326656,-0.945273344,www.dx.doi.org/10.1016/0022-3697(61)90103-2,N2O5 + CoO heated to 1300 C for 10 h
Nb2PS10,1.3727,-1.089431794,1.109432875,-0.263267125,"Brec, Raymond; Grenouilleau, Philippe; Evain, Michel; Rouxel, Jean PNb2S10 a new two-dimensional sulfide. Synthesis and structural characterization Revue de Chimie Minerale 20 (1983) 295-305",Nb + P + S at 600 C for 8 days
Nb2SnO6,1.7399,-2.761521169,0.900531656,-0.839368344,"Ercit, T. S.; Cerny, P. The crystal structure of foordite The Canadian Mineralogist 26 (1988) 899-903","No ref found, but looks easy: Nb2O5 + SnO"
Nb3Sb2Te5,0.8441,-0.391308045,0.85645589,0.01235589,"Jensen, P.; Kjekshus, A. The crystal structure of Nb3 Sb2 Te5 Journal of the Less-Common Metals 13 (1967) 357-359",Nb + Sb + Te in sealed quartz ampule at 600 C for 2 weeks
Nb9VO25,1.9967,-2.986485551,2.34850534,0.35180534,www.dx.doi.org/10.1107/S1600536814007831,"Nb2O5 + V2O5 + Na2CO3 at 623 K for 24 h, 1198 K for x hours"
NbBr5,1.5583,-0.875997429,1.291225448,-0.267074552,"Tragl, Sonja; Meyer, Hans-JÌ_rgen Crystal structure of niobium pentabromide, NbBr~5~, a triclinic phase Zeitschrift fÌ_r Kristallographie - New Crystal Structures 222(3) (2007) 161-162",can be bought
NbCoO4,1.6468,-2.291494724,0.815499067,-0.831300933,www.dx.doi.org/10.1002/zaac.19804710109,Nb2O5 + CoC2O4-2H2O at 1450 C for 8 h
NbCu3S4,1.6574,-0.929894033,1.593235156,-0.064164844,www.dx.doi.org/10.1107/S1600536805022397,Cu+Nb+S+I via CVT with temperatuere gradient of 1123 K - 1053 K for 120 h
Ni3TeO6,1.6892,-1.215263878,1.231050786,-0.458149214,www.dx.doi.org/10.1107/S1600536806043042,NiO + TeO2 + NiCl2  via CVT (923 K - 1023 K for 5 weeks) in sealed ampule
NiH2S4N4,0.9639,-0.250359875,1.432987747,0.469087747,"Mayer, K.F.; Weiss, J. Bis(dithionitrito-S-amido)nickel - A new (beta-) modification Acta Crystallographica B (24,1968-38,1982) 34 (1978) 1999-2000","NiCl2-6H2O + S4N4 refluxed in methanol, dried and washed with cyclohexane and acetone"
PWO5,1.8469,-2.469055182,1.887879626,0.040979626,"Wang, S.-L.; Wang, C.-C.; Lii, K.-H. Crystal Structure of W P O5, the Second Member of the Monophosphate Tungsten Bronze Series (W O3)2m (P O2)4 Journal of Solid State Chemistry 82 (1989) 298-302",WO3 + W + P2O5 + SiO2 in sealed quartz tube at 1250 C for several days
Pb5S2I6,1.8132,-0.712302154,2.301438057,0.488238057,"Krebs, B. Strukturchemie von Chalkogenid-halogeniden: Die Kristallstrukturen von Pb4 Se Br6 und Pb5 S2 J6 Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) 25 (1970) 223-224",Pb + S + I at 600 C
PbO,1.4695,-1.488116003,1.71747994,0.24797994,www.dx.doi.org/10.1021/ja01676a015,can be bought
Rb2MnCl4,1.2907,-1.947595898,1.359818152,0.069118152,"Goodyear, J.; Ali, E.M.; Steigmann, G.A. Rubidium tetrachloromanganate Acta Crystallographica B (24,1968-38,1982) 33 (1977) 2932-2933","RbCl + MnCl2 in sealed ampule until molten, then cooled slowly"
Rb2NaMnO4,1.8116,-1.829015019,1.027882264,-0.783717736,www.dx.doi.org/10.1107/S1600536805020453,Na2O + Rb2O + Mn + CdO in Ag crucibles sealed in ampule heated to 523 K for 14 d
Rb3BP2,1.5884,-0.384274247,1.189012739,-0.399387261,"von Schnering, H.G.; Carrillo-Cabrera, W.; Peters, K.; Somer, M.; Peters, E.M. Crystal structures of trirubidium diarsenidoborate, Rb3 B As2 and trirubidium diphosphidoborate, Rb3 B P2 Zeitschrift fuer Kristallographie (149,1979-) 210 (1995) 779-780",BP + RbP + Rb in sealed Nb ampule at 1000 K
Rb3Zr2P5S18,1.9753,-1.215194082,1.138474393,-0.836825607,"Gutzmann, A.; Naether, C.; Bensch, W. Synthesis, crystal structure and optical properties of A3 Zr2 P5 S18 (A = Rb, Cs): the first quaternary zirconium thiophosphates Solid State Sciences 6 (2004) 205-211",Rb2S3 (Rb+S in liquid NH3) + ZrS2 (Zr + S at 753 K in sealed ampule) + P2S5 + S 873 K for 4 d
Rb4Cu5Cl9,1.7887,-1.411205098,1.926622225,0.137922225,"Sishen, X.; Geller, S. Crystal structure of Rb4 Cu5 Cl9 Journal of Solid State Chemistry 63 (1986) 326-335","RbCl + CuCl at 220 C, then 160 C for 96 h"
Rb4Hf3S14,1.9401,-1.562907275,1.571604688,-0.368495312,www.dx.doi.org/10.1021/ic0011260,Rb2S3 (Rb + S in liquid NH3) + Hf + S in sealed tube at 873 K for 4 d
Rb4P21I,1.4267,-0.315214656,1.83425695,0.40755695,"Hoenle, W.; von Schnering, H.G.; Peters, K.; Schmettow, W.; Chang Jenhui The henicosaphosphide iodides of potassium and rubidium, K4 P21 I and Rb4 P21 I Zeitschrift fuer Anorganische und Allgemeine Chemie 630 (2004) 1858-1862",Rb + P + I in sealed ampule at 373 K for 3 d
Rb4Ta2S11,1.7127,-1.369853275,0.887232215,-0.825467785,www.dx.doi.org/10.1107/S0108270197018404,Rb2S3 (Rb + S in liquid NH3) + Ta + S in sealed ampule at 773 K for 6 d
Rb4Ti3S14,1.2236,-1.451794873,1.144240026,-0.079359974,www.dx.doi.org/10.1021/ic0011260,Ti + S + Rb2S3 flux (Rb + S in NH3) heated to 873 K for 4 d
Rb4Zr3Se14,1.4609,-1.037402694,1.109759483,-0.351140517,www.dx.doi.org/10.1021/ic0011260,Zr + Se + Rb2Se3 (Rb + Se in liquid ammonia) in sealed ampule  at 873 K for 4 d
Rb6Ta4S25,1.4821,-1.265613116,0.878629363,-0.603470637,"Petra Stoll; Christian Nather; Inke Jeb; Wolfgang Bensch Synthesis, crystal structure and optical properties of the new tantalum polysulfide Rb6Ta4S25 and its thermal degradation to Rb6Ta4S22 Solid State Sciences 2 (2000) 563-568",Rb2S3 (Rb + S in liquid ammonia under Ar) + Ta + S in sealed ampule at 723 K for 5 d
RbCuO2,0.9136,-1.366964483,0.957735002,0.044135002,"Hestermann, K.; Hoppe, R. Die Kristallstruktur von K Cu O2, Rb Cu O2 und Cs Cu O2 Zeitschrift fuer Anorganische und Allgemeine Chemie 367 (1969) 249-260",RbO2 + CuO under flowing oxygen at 400 C for 6 d
RbGeBiS4,1.9799,-1.020476089,1.155723508,-0.824176492,www.dx.doi.org/10.1021/ic020429m,Rb2S3 (Rb + S in liquid NH3) + Ge + Bi + S in sealed ampule at 893 Kk for 84 h
Sb2MoO6,1.3984,-1.905157527,1.117024764,-0.281375236,www.dx.doi.org/10.1107/S0108270197006239,Sb2O3 + MoO3 in sealed ampule at 763 K for 24 h
Sb2O5,0.8138,-1.766578291,1.264359682,0.450559682,www.dx.doi.org/10.1107/S056774087900409X,can be purchased
Sb2S3,1.2828,-0.65299885,1.187341099,-0.095458901,www.dx.doi.org/10.1007/s00269-001-0227-1,can be purchased
Sb2Se3,0.7564,-0.260578215,0.894032029,0.137632029,www.dx.doi.org/10.1007/s00269-005-0470-y,SbCl3+Na citrate+ammonia+sodium selenosulfate+water
Sb2WO6,1.4712,-1.970375969,1.319428526,-0.151771474,www.dx.doi.org/10.1107/S0108768196003813,Sb2O3 + WO3 in sealed ampule at 1073 K for 24 h
SbCl5,1.8233,-1.140537478,2.272885864,0.449585864,"Haupt, S.; Seppelt, K. Solid state structures of As Cl5 and Sb Cl5 Zeitschrift fuer Anorganische und Allgemeine Chemie 628 (2002) 729-734",can be bought
SbPb2S2I3,1.7238,-0.669564039,1.407329184,-0.316470816,"Doussier, C.; Moelo, Y.; Meerschaut, A.; Leone, P.; Evain, M. Crystal structure of Pb2 Sb S2 I3, and re-examination of the crystal chemistry within the group of (Pb/Sn/Sb) chalcogeno-iodides Solid State Sciences 9 (2007) 792-803",PbS + Sb2S3 + I in CVT with sealed quartz tube at 600 C for 12 d
SiP,1.7395,-0.156310133,1.60733631,-0.13216369,www.dx.doi.org/10.1039/C7CE01676J,"Si + P + Sn in 500 C in sealed ampule for 36 h, then 1150 C for 10 h"
